8222.4571,12.4319,0.8472,0.6073,islet_500
7889.2073,11.12,0.8611,0.6119,islet_501
7764.5413,11.7006,0.8556,0.605,islet_502
8981.4959,13.0922,0.8417,0.6112,islet_503
7123.4714,11.6945,0.8556,0.6098,islet_504
8414.1668,12.027,0.8444,0.602,islet_505
8127.3264,12.5538,0.8333,0.6099,islet_506
8214.0144,12.0019,0.8306,0.6105,islet_507
7492.2414,11.6396,0.8333,0.6062,islet_508
8158.35,11.6258,0.85,0.6103,islet_509
8594.5777,12.6576,0.8306,0.6059,islet_510
7656.1404,11.6781,0.8611,0.6031,islet_511
7960.9078,11.6704,0.8639,0.6121,islet_512
8544.7678,12.3753,0.8361,0.6097,islet_513
8060.0933,11.8897,0.8556,0.61,islet_514
8548.2184,12.4145,0.8389,0.6098,islet_515
7462.4343,11.5986,0.8417,0.6092,islet_516
8038.001,11.6375,0.8389,0.6067,islet_517
8936.1207,12.7124,0.8389,0.6118,islet_518
7032.3697,11.0226,0.8167,0.6057,islet_519
7182.3781,11.4885,0.8667,0.6082,islet_520
8359.977,12.4023,0.8694,0.6047,islet_521
7968.7488,12.0131,0.8417,0.6011,islet_522
7960.2699,11.7491,0.8472,0.6083,islet_523
8568.8455,12.6113,0.8278,0.605,islet_524
7606.5516,11.6704,0.85,0.6067,islet_525
7242.0532,11.1778,0.8444,0.6021,islet_526
8348.4295,12.5345,0.85,0.6047,islet_527
7033.8066,11.3523,0.85,0.6012,islet_528
8026.9607,12.4357,0.8556,0.6033,islet_529
8454.6573,12.0717,0.8444,0.6043,islet_530
8402.4525,12.2578,0.8472,0.6078,islet_531
8070.7091,11.9205,0.8556,0.6099,islet_532
7410.1381,11.9734,0.8556,0.607,islet_533
8258.1529,11.9058,0.8389,0.6095,islet_534
7773.0631,11.9399,0.8583,0.6053,islet_535
